start,end,person,FG,kind,prosody,sentence_grammar,text,commentary;;;;;
00:00:01:03,00:00:02:13,ERZAEHLER,1,speech,regular,none,Eine Computeranimation,;;;;;
00:00:03:02,00:00:06:23,ERZAEHLER,1,speech,regular,HS,Auf einen schroffen Berg mit schneebedeckter Flanke fliegt eine Reihe Sterne zu. ,;;;;;
00:00:07:06,00:00:08:21,ERZAEHLER,1,speech,regular,HS,Sie bilden einen Kranz um den Gipfel.,;;;;;
00:00:09:08,00:00:10:00,ERZAEHLER,1,speech,regular,none,Paramount,;;;;;
00:00:15:23,00:00:19:10,ERZAEHLER,1,speech,regular,HS,Vor bewölktem Himmel schwebt eine grau-weiße Feder durch die Luft.,;;;;;
00:00:20:17,00:02:45:12,OST,1,song,instrumental,instrumental,,;;;;;
00:00:22:19,00:00:25:18,ERZAEHLER,1,speech,regular,HS,In einer Stadt segelt sie über die Baumkronen eines Parks.,;;;;;
00:00:31:19,00:00:33:04,ERZAEHLER,1,speech,regular,none,Ein Robert-Zemeckis-Film,;;;;;
00:00:34:05,00:00:36:15,ERZAEHLER,1,speech,regular,none,Tom Hanks als Forrest Gump,;;;;;
00:00:40:17,00:00:42:21,ERZAEHLER,1,speech,regular,HS,Die Feder fliegt ein paar Meter über den Wipfeln.,;;;;;
"00:00:43:20,00:00:50:19,ERZAEHLER,1,speech,regular,none,""Robin Wright als Jenny, Gary Sinise als Lieutenant Dan, Mykelti Williamson als Bubba und Sally Field als Missis Gump"",";;;;;
00:00:51:09,00:00:52:16,ERZAEHLER,1,speech,regular,none,Musik: Alan Silvestri,;;;;;
00:00:53:04,00:00:54:07,ERZAEHLER,1,speech,regular,none,Drehbuch: Eric Roth,;;;;;
00:00:54:22,00:00:57:04,ERZAEHLER,1,speech,regular,none,Nach dem gleichnamigen Roman von Winston Groom,;;;;;
00:00:58:10,00:00:59:19,ERZAEHLER,1,speech,regular,none,Regie: Robert Zemeckis,;;;;;
00:01:08:18,00:01:12:22,ERZAEHLER,1,speech,regular,HS,In der Nähe eines Kirchturmes sinkt die Feder vor einem weißen Gebäude langsam tiefer.,;;;;;
00:01:17:11,00:01:21:24,ERZAEHLER,1,speech,regular,HS,Die Hörfilmfassung wurde produziert vom Bayerischen Rundfunk im Auftrag des Schweizer Fernsehens.,;;;;;
"00:01:22:04,00:01:25:06,ERZAEHLER,1,speech,regular,none,""Text: Koop, Michalski und Beckmann – Hörfilm e.V"",";;;;;
00:01:25:21,00:01:27:23,ERZAEHLER,1,speech,regular,none,Redaktion: Elmar Dosch und Bernd Benecke,;;;;;
00:01:28:11,00:01:29:20,ERZAEHLER,1,speech,regular,none,Tonmischung: Herbert Glaser,;;;;;
00:01:30:03,00:01:31:11,ERZAEHLER,1,speech,regular,none,Sprecher: Thomas Meinhardt,;;;;;
"00:01:33:00,00:01:36:02,ERZAEHLER,1,speech,regular,HS,""Die Feder trudelt zu einer Straße hinunter, die durch den Park führt."",";;;;;
00:01:36:16,00:01:38:14,ERZAEHLER,1,speech,regular,HS,Ein Mann bleibt kurz am Bordstein stehen.,;;;;;
00:01:39:00,00:01:40:21,ERZAEHLER,1,speech,regular,HS,Die Feder landet sanft auf seiner Schulter.,;;;;;
00:01:45:16,00:01:47:02,ERZAEHLER,1,speech,regular,HS,Der Mann überquert die Fahrbahn.,;;;;;
00:01:47:17,00:01:50:16,ERZAEHLER,1,speech,regular,HS,Die Feder schwebt weiter über die Windschutzscheibe eines Chevrolets.,;;;;;
"00:01:51:07,00:01:56:17,ERZAEHLER,1,speech,regular,AND,relativ,""Sie sinkt bis dicht über den Asphalt und fliegt unter einem Wagen hindurch, der an einer Bushaltestelle vorbeifährt."",";;;;;
00:01:57:12,00:02:01:06,ERZAEHLER,1,speech,regular,AND,Die Feder wird wieder hochgewirbelt und trudelt zu einem Mann auf einer Wartebank.,;;;;;
00:02:02:02,00:02:04:20,ERZAEHLER,1,speech,regular,HS,Sie landet an einem seiner abgewetzten Nike-Laufschuhe.,;;;;;
00:02:06:05,00:02:08:07,ERZAEHLER,1,speech,regular,AND,Der Mann hebt sie auf und betrachtet sie.,;;;;;
"00:02:09:06,00:02:13:11,ERZAEHLER,1,speech,regular,AND,""Er ist etwa vierzig, schlank und braungebrannt und hat kleine dunkle Augen."",";;;;;
00:02:14:03,00:02:17:20,ERZAEHLER,1,speech,regular,HS,Sein kurzes dunkles Haar mit Geheimratsecken ist über den Ohren ausrasiert.,;;;;;
00:02:18:11,00:02:21:02,ERZAEHLER,1,speech,regular,HS,Er trägt einen hellen Anzug und ein blau kariertes Hemd.,;;;;;
00:02:21:21,00:02:25:14,ERZAEHLER,1,speech,regular,AND,Der Mann nimmt eine Pralinenschachtel von einem kleinen Koffer und öffnet ihn.,;;;;;
00:02:27:01,00:02:31:06,ERZAEHLER,1,speech,regular,HS,Zwischen den akkurat gepackten Sachen liegen auch ein rotes Käppi und ein Tischtennisschläger.,;;;;;
00:02:31:23,00:02:35:10,ERZAEHLER,1,speech,regular,HS,Aus dem Kofferdeckel zieht der Mann das Kinderbuch 'Curious George'.,;;;;;
